!
!Date: 10/18/2016
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Interactor	Interactor Systematic Name	Interactor	Interactor Systematic Name	Type	Assay	Annotation	Action	Modification	Phenotype	Source	Reference	Note
BNI1	YNL271C	ACA1	YER045C	Physical	Two-hybrid	high-throughput	Hit	No Modification		BioGRID	Wang Y, et al. (2012) PMID:22875988	Interaction between cloned coiled-coil domains
BNI1	YNL271C	ACT1	YFL039C	Genetic	Phenotypic Suppression	manually curated	Bait			BioGRID	Yoshiuchi S, et al. (2006) PMID:16547104	
BNI1	YNL271C	ACT1	YFL039C	Genetic	Synthetic Growth Defect	manually curated	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Yoshiuchi S, et al. (2006) PMID:16547104	
BNI1	YNL271C	ACT1	YFL039C	Genetic	Dosage Rescue	manually curated	Bait		vegetative growth: normal Mutant Type: unspecified	BioGRID	Yoshiuchi S, et al. (2006) PMID:16547104	bni1Delta sla2-82 mutant
BNI1	YNL271C	ACT1	YFL039C	Physical	Two-hybrid	manually curated	Bait	No Modification		BioGRID	Evangelista M, et al. (1997) PMID:9082982	
BNI1	YNL271C	ACT1	YFL039C	Physical	Reconstituted Complex	manually curated	Hit	No Modification		BioGRID	Graziano BR, et al. (2011) PMID:21880892	
BNI1	YNL271C	ACT1	YFL039C	Physical	Biochemical Activity	manually curated	Bait	No Modification		BioGRID	Courtemanche N and Pollard TD (2012) PMID:22247555	Bni1 polymerizes profilin-actin in vitro
BNI1	YNL271C	ACT1	YFL039C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	ADE17	YMR120C	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	ADE5,7	YGL234W	Physical	Reconstituted Complex	high-throughput	Bait	No Modification		BioGRID	Miao Y, et al. (2013) PMID:24133141	Figure 3|proteins identified using MS from formin-reconstituted actin cables
BNI1	YNL271C	AGE2	YIL044C	Genetic	Synthetic Growth Defect	high-throughput	Bait		vegetative growth: decreased Mutant Type: unspecified	BioGRID	Tong AH, et al. (2004) PMID:14764870	genetic complex|triple mutants show a synthetic growth defect compared to a BNI1/KRE1 double mutant
