Gene	ORF 	Plate	Row	Column
HIS3	YOR202W	1	1	1
HIS3	YOR202W	1	1	2
HIS3	YOR202W	1	1	3
HIS3	YOR202W	1	1	4
HIS3	YOR202W	1	1	5
HIS3	YOR202W	1	1	6
HIS3	YOR202W	1	1	7
HIS3	YOR202W	1	1	8
HIS3	YOR202W	1	1	9
HIS3	YOR202W	1	1	10
HIS3	YOR202W	1	1	11
HIS3	YOR202W	1	1	12
HIS3	YOR202W	1	1	13
HIS3	YOR202W	1	1	14
HIS3	YOR202W	1	1	15
HIS3	YOR202W	1	1	16
HIS3	YOR202W	1	1	17
HIS3	YOR202W	1	1	18
HIS3	YOR202W	1	1	19
HIS3	YOR202W	1	1	20
HIS3	YOR202W	1	1	21
HIS3	YOR202W	1	1	22
HIS3	YOR202W	1	1	23
HIS3	YOR202W	1	1	24
HIS3	YOR202W	1	2	1
	YBR030W	1	2	2
HDR1	YBR138C	1	2	3
	YBR028C	1	2	4
	YBR137W	1	2	5
	YBR027C	1	2	6
	YBR134W	1	2	7
ETR1	YBR026C	1	2	8
AGP2	YBR132C	1	2	9
	YBR025C	1	2	10
CCZ1	YBR131W	1	2	11
SCO2	YBR024W	1	2	12
SHE3	YBR130C	1	2	13
CHS3	YBR023C	1	2	14
OPY1	YBR129C	1	2	15
POA1	YBR022W	1	2	16
ATG14	YBR128C	1	2	17
GAL1	YBR020W	1	2	18
TPS1	YBR126C	1	2	19
GAL10	YBR019C	1	2	20
PTC4	YBR125C	1	2	21
GAL7	YBR018C	1	2	22
MRPL36	YBR122C	1	2	23
HIS3	YOR202W	1	2	24
HIS3	YOR202W	1	3	1
PSK1	YAL017W	1	3	2
HEK2	YBL032W	1	3	3
NTG1	YAL015C	1	3	4
SHE1	YBL031W	1	3	5
SYN8	YAL014C	1	3	6
	YBL029W	1	3	7
DEP1	YAL013W	1	3	8
	YBL028C	1	3	9
SWC3	YAL011W	1	3	10
RPL19B	YBL027W	1	3	11
MDM10	YAL010C	1	3	12
RRN10	YBL025W	1	3	13
FUN14	YAL008W	1	3	14
NCL1	YBL024W	1	3	15
ERP2	YAL007C	1	3	16
HAP3	YBL021C	1	3	17
SSA1	YAL005C	1	3	18
APN2	YBL019W	1	3	19
	YAL004W	1	3	20
PEP1	YBL017C	1	3	21
VPS8	YAL002W	1	3	22
FUS3	YBL016W	1	3	23
HIS3	YOR202W	1	3	24
HIS3	YOR202W	1	4	1
GIP1	YBR045C	1	4	2
SLI15	YBR156C	1	4	3
TCM62	YBR044C	1	4	4
APD1	YBR151W	1	4	5
QDR3	YBR043C	1	4	6
TBS1	YBR150C	1	4	7
	YBR042C	1	4	8
ARA1	YBR149W	1	4	9
FAT1	YBR041W	1	4	10
YSW1	YBR148W	1	4	11
FIG1	YBR040W	1	4	12
	YBR147W	1	4	13
CSG2	YBR036C	1	4	14
MRPS9	YBR146W	1	4	15
HMT1	YBR034C	1	4	16
ADH5	YBR145W	1	4	17
EDS1	YBR033W	1	4	18
	YBR144C	1	4	19
	YBR032W	1	4	20
	YBR141C	1	4	21
RPL4A	YBR031W	1	4	22
	YBR139W	1	4	23
HIS3	YOR202W	1	4	24
