	ORF	Gene	SGDID	GO_Aspect	GO_Slim_Term	GOID	Feature_type	Feature_typed_Filtered
42	Q0045	COX1	S000007260	P	cellular respiration	GO:0045333	ORF|Verified	True
43	Q0045	COX1	S000007260	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
44	Q0045	COX1	S000007260	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
49	Q0050	AI1	S000007261	P	DNA recombination	GO:0006310	ORF|Verified	True
50	Q0050	AI1	S000007261	P	mRNA processing	GO:0006397	ORF|Verified	True
55	Q0055	AI2	S000007262	P	DNA recombination	GO:0006310	ORF|Verified	True
60	Q0060	AI3	S000007263	P	biological_process	GO:0008150	ORF|Verified	True
65	Q0065	AI4	S000007264	P	DNA recombination	GO:0006310	ORF|Verified	True
66	Q0065	AI4	S000007264	P	RNA splicing	GO:0008380	ORF|Verified	True
71	Q0070	AI5_ALPHA	S000007265	P	DNA recombination	GO:0006310	ORF|Verified	True
83	Q0080	ATP8	S000007267	P	ion transport	GO:0006811	ORF|Verified	True
84	Q0080	ATP8	S000007267	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
85	Q0080	ATP8	S000007267	P	transmembrane transport	GO:0055085	ORF|Verified	True
93	Q0085	ATP6	S000007268	P	ion transport	GO:0006811	ORF|Verified	True
94	Q0085	ATP6	S000007268	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
95	Q0085	ATP6	S000007268	P	transmembrane transport	GO:0055085	ORF|Verified	True
105	Q0105	COB	S000007270	P	cellular respiration	GO:0045333	ORF|Verified	True
106	Q0105	COB	S000007270	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
107	Q0105	COB	S000007270	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
112	Q0110	BI2	S000007271	P	RNA splicing	GO:0008380	ORF|Verified	True
116	Q0115	BI3	S000007272	P	RNA splicing	GO:0008380	ORF|Verified	True
120	Q0120	BI4	S000007273	P	RNA splicing	GO:0008380	ORF|Verified	True
128	Q0130	OLI1	S000007274	P	ion transport	GO:0006811	ORF|Verified	True
129	Q0130	OLI1	S000007274	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
130	Q0130	OLI1	S000007274	P	transmembrane transport	GO:0055085	ORF|Verified	True
136	Q0140	VAR1	S000007275	P	mitochondrial translation	GO:0032543	ORF|Verified	True
137	Q0140	VAR1	S000007275	P	mitochondrion organization	GO:0007005	ORF|Verified	True
160	Q0160	SCEI	S000007279	P	DNA recombination	GO:0006310	ORF|Verified	True
170	Q0250	COX2	S000007281	P	cellular respiration	GO:0045333	ORF|Verified	True
171	Q0250	COX2	S000007281	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
172	Q0250	COX2	S000007281	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
183	Q0275	COX3	S000007283	P	cellular respiration	GO:0045333	ORF|Verified	True
184	Q0275	COX3	S000007283	P	generation of precursor metabolites and energy	GO:0006091	ORF|Verified	True
185	Q0275	COX3	S000007283	P	nucleobase-containing small molecule metabolic process	GO:0055086	ORF|Verified	True
196	R0010W	FLP1	S000029654	P	DNA recombination	GO:0006310	ORF|Verified	True
313	YAL001C	TFC3	S000000001	P	transcription from RNA polymerase III promoter	GO:0006383	ORF|Verified	True
319	YAL002W	VPS8	S000000002	P	endosomal transport	GO:0016197	ORF|Verified	True
320	YAL002W	VPS8	S000000002	P	protein targeting	GO:0006605	ORF|Verified	True
323	YAL003W	EFB1	S000000003	P	cytoskeleton organization	GO:0007010	ORF|Verified	True
324	YAL003W	EFB1	S000000003	P	regulation of organelle organization	GO:0033043	ORF|Verified	True
325	YAL003W	EFB1	S000000003	P	regulation of translation	GO:0006417	ORF|Verified	True
326	YAL003W	EFB1	S000000003	P	translational elongation	GO:0006414	ORF|Verified	True
340	YAL005C	SSA1	S000000004	P	cytoplasmic translation	GO:0002181	ORF|Verified	True
341	YAL005C	SSA1	S000000004	P	mitochondrion organization	GO:0007005	ORF|Verified	True
